alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit,v_band_1_high,v_band_1_low,v_band_1_type,v_band_1_unit,vs_band_0_high,vs_band_0_low,vs_band_0_type,vs_band_0_unit,vs_band_1_high,vs_band_1_low,vs_band_1_type,vs_band_1_unit,vs_band_2_high,vs_band_2_low,vs_band_2_type,vs_band_2_unit
Warning,61.7876962861023,0.0,NEAR,,249.67753889328674,61.7876962861023,RECOVERY,,360.0,249.67753889328674,NEAR,,700.0,10.0,RECOVERY,,,,,,5008.480196982293,120.8386742232687,44.99022932671216,45.02180791661163,64.78769628613068,2.98003699358092,10,5003.703535236042,148.05734219964037,AC1,44.997825935194335,45.02763869714966,269.50691275529346,-1.4631649582555994,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5007.243250382231,121.2018948864015,44.9904438480691,45.022483139350555,66.29885659766231,-1.3832484238538834,11,5005.151603821082,149.180723765182,AC1,44.997803979104845,45.02674186556394,269.0234009492084,-4.255112493994776,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4994.95987859163,121.2314217817985,44.99103916681019,45.02256209787526,3.5974454709084673,-4.139442234368416,12,5004.898038079616,150.42259193549415,AC1,44.99777706885174,45.02570373879955,271.4572978735013,3.9614771994192024,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,244.7876962861023,0.0,RECOVERY,,355.69455903280135,244.7876962861023,NEAR,,360.0,355.69455903280135,RECOVERY,,700.0,10.0,RECOVERY,,,,,,5013.975350827248,119.81781872288461,44.9915342834917,45.0225470071286,355.69455903282386,3.5053423870753466,13,5014.6301937420085,152.1677389862876,AC1,44.997747879147596,45.02471854835607,271.2399331587104,9.683482791591038,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,183.59744547084497,0.0,RECOVERY,,334.6106303999152,183.59744547084497,NEAR,,360.0,334.6106303999152,RECOVERY,,700.0,10.0,RECOVERY,,,,,,5008.395974887612,117.1553717848751,44.992083645117155,45.0223364946548,353.61063039985356,-2.6490467905047925,14,5000.648557924022,150.14615625345272,AC1,44.997837879679906,45.02373760973897,268.288838211035,-2.176561205658301,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,183.59744547084497,0.0,RECOVERY,,334.6106303999152,183.59744547084497,NEAR,,360.0,334.6106303999152,RECOVERY,,700.0,10.0,RECOVERY,,,,,,5003.5725555894915,124.27890881053708,44.99275127260607,45.02223405912026,355.849350051976,5.021937155475554,15,4984.445059661275,154.28818833191903,AC1,44.997755887136485,45.02277573485169,269.9935982255728,-12.169661747646519,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4996.787297627165,120.73453084807198,44.99318473580199,45.02232622124313,356.83649788142395,4.5724665383062755,16,4985.669311990914,149.5883429497657,AC1,44.99767495283686,45.02174400944025,270.47725040333927,-0.4063896000267596,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4990.515690453961,117.4520783060089,44.99382186702295,45.022461616308405,1.3784557622847746,5.56675452560183,17,5011.53449311206,151.94110703797412,AC1,44.99777341698773,45.02081579127513,270.8532735068849,0.5586547639111717,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5010.12148723025,120.22380534718856,44.99426625334533,45.02233927326845,5.884897034980074,8.820614193159669,18,4997.181088445594,150.49013069046902,AC1,44.99772893196837,45.01982586065092,266.61890720376465,-1.1561478054004883,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4984.9611903374025,120.50139004681374,44.99483326466524,45.02228554241128,356.9823434439839,-6.722869556845916,19,5001.048394330653,149.9571179095271,AC1,44.99772974526735,45.018933912629194,269.0797407340282,-3.2462272033382966,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
