alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,h_band_3_high,h_band_3_low,h_band_3_type,h_band_3_unit,h_band_4_high,h_band_4_low,h_band_4_type,h_band_4_unit,h_band_5_high,h_band_5_low,h_band_5_type,h_band_5_unit,h_band_6_high,h_band_6_low,h_band_6_type,h_band_6_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit,v_band_1_high,v_band_1_low,v_band_1_type,v_band_1_unit,v_band_2_high,v_band_2_low,v_band_2_type,v_band_2_unit,vs_band_0_high,vs_band_0_low,vs_band_0_type,vs_band_0_unit,vs_band_1_high,vs_band_1_low,vs_band_1_type,vs_band_1_unit,vs_band_2_high,vs_band_2_low,vs_band_2_type,vs_band_2_unit
None,65.63542784680732,0.0,NEAR,,264.6354278468073,65.63542784680732,NONE,,360.0,264.6354278468073,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,4990.742674442991,121.87224599066538,44.98772184438665,44.98021256307398,242.4283037357512,0.7146375413557593,12,4995.684738031964,150.92876325630877,AC1,44.995167575606835,44.99570834058098,270.1773697183729,-1.2400830365713313,50000.0,100.0,NEAR,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,63.79739490891696,0.0,NEAR,,264.797394908917,63.79739490891696,NONE,,360.0,264.797394908917,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,4992.797431049371,118.6862927276577,44.987454549103404,44.97940678353788,243.79739490896745,-2.314767181917245,13,4991.6832757193415,149.8240562152844,AC1,44.99521852665133,44.994858199708275,268.6718361445943,3.522666420237976,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,63.03584110405845,0.0,NEAR,,266.1786323956392,63.03584110405845,NONE,,360.0,266.1786323956392,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,4997.137176389643,119.3323775611261,44.987198380021034,44.978826116748344,240.1786323957285,-4.254776452664622,14,4981.726357401281,152.32589981581376,AC1,44.9951149495862,44.993751999995816,268.88953329690685,0.6299062207171771,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,62.42830373575951,0.0,NEAR,,265.90928682673865,62.42830373575951,NONE,,360.0,265.90928682673865,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,5003.5620922076,120.89813685357099,44.98696812222333,44.97813873705104,241.90928682681758,2.209153108724932,15,5019.125232670325,147.15158160472893,AC1,44.995169042494645,44.99258400764827,268.03593590896133,7.1056345576006406,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,63.79739490891696,0.0,NEAR,,264.797394908917,63.79739490891696,NONE,,360.0,264.797394908917,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,5000.409580399471,123.42648452338281,44.98667455393379,44.97742042677545,243.81733192687352,4.8551863808034215,16,5001.267645278953,150.06413939172486,AC1,44.99514807906947,44.99176780904136,266.3176756065375,-0.31972699414986006,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,63.817331926858266,0.0,NEAR,,265.90928682673865,63.817331926858266,NONE,,360.0,265.90928682673865,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,5013.883178375478,120.95912706325373,44.986441294971705,44.976782348358476,244.38614748569174,-4.115875725139145,17,5000.125577459818,152.27483224038426,AC1,44.995083043301314,44.990904604306365,269.7757341560441,-0.7752431270407918,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,63.817331926858266,0.0,NEAR,,265.90928682673865,63.817331926858266,NONE,,360.0,265.90928682673865,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,5004.182744035657,117.11706113065836,44.98622394068915,44.97605179449649,241.67595603945088,-11.446582549724278,18,4989.940532389839,150.61819874625488,AC1,44.995159809719475,44.989947694989596,271.21888739123546,1.9314967489680774,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,63.817331926858266,0.0,NEAR,,268.3861474856619,63.817331926858266,NONE,,360.0,268.3861474856619,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,5003.4739107026235,125.50474284586448,44.98586702510299,44.97537783229099,239.70683944731059,-3.68607148268457,19,5013.021208552295,148.72319982718787,AC1,44.995157446710955,44.988900356071134,270.7603283038097,-0.11837135796261836,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,61.67595603958841,0.0,NEAR,,272.6759560395884,61.67595603958841,NONE,,360.0,272.6759560395884,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,5005.296659785855,115.53988593363265,44.98561393336203,44.974607531715094,240.5375586991708,-1.9155514022173206,20,5002.987563323805,151.4802988511598,AC1,44.995151094967945,44.98800491768237,272.45478003881266,6.387621807147413,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,60.61573156066643,0.0,NEAR,,272.6759560395884,60.61573156066643,NONE,,360.0,272.6759560395884,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,4992.964940756546,118.96618329192424,44.985339680383866,44.97389240022391,240.61573156061655,-8.25498272121545,21,5002.256135756259,148.94739188017894,AC1,44.995135947294784,44.98698034366037,267.57230026759316,0.9829041520482074,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,60.53755869916298,0.0,NEAR,,272.6759560395884,60.53755869916298,NONE,,360.0,272.6759560395884,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,4998.1463751139245,116.6312401530954,44.985136770133394,44.97327272967888,238.63897191202778,2.145750643705863,22,5011.108642852338,154.22861592780515,AC1,44.99515954414074,44.98592765384968,273.5346765235562,-10.52100284112884,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,60.53755869916298,0.0,NEAR,,277.53755869916296,60.53755869916298,NONE,,360.0,277.53755869916296,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,4997.682151417039,117.6642961479056,44.9849313578065,44.972574539641755,239.64579033682887,-5.349419314051661,23,5018.959294084953,151.91397206104185,AC1,44.995086221569636,44.98497158738334,274.64110435471235,6.491396409390124,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,60.61573156066643,0.0,NEAR,,275.065226818529,60.61573156066643,NONE,,360.0,275.065226818529,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,4999.1117154961075,121.13983568834084,44.98455837849414,44.97198838797479,242.0652268184639,-0.8491080616743387,24,4997.139594915783,149.9706091699996,AC1,44.995200518187055,44.98400706219264,270.88734013236416,-1.4984558563845978,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,58.66295139283713,0.0,NEAR,,275.065226818529,58.66295139283713,NONE,,360.0,275.065226818529,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,4998.603227214677,122.76289828606585,44.984227305878186,44.97115790699541,238.66295139286458,1.7420254703867808,25,5020.626710691575,151.07662769044742,AC1,44.99510354090834,44.98302512851805,269.9053027796074,5.017399055327502,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,62.06522681852904,0.0,NEAR,,275.065226818529,62.06522681852904,NONE,,360.0,275.065226818529,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,5002.558573603373,120.15397977120044,44.98402632596801,44.97056760562841,243.19389952121654,4.754054496426406,26,4998.776206457197,151.2830015409785,AC1,44.99513141535931,44.982079281992625,273.4873499256082,-1.3028854944185455,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,62.6058321145974,0.0,NEAR,,274.6629513928371,62.6058321145974,NONE,,360.0,274.6629513928371,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,5018.0515046999535,119.58406926692122,44.98377758154138,44.96986711653493,242.60583211462884,0.61385521947322,27,5013.330599847134,149.316256703738,AC1,44.9951960482425,44.98106317263933,269.2064621653546,2.8198118001239707,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,62.6058321145974,0.0,NEAR,,274.6629513928371,62.6058321145974,NONE,,360.0,274.6629513928371,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,5003.971969971022,124.12705166242887,44.98343123359686,44.96922903845933,241.82891949175252,6.394419086567846,28,4999.702477846638,150.73398762602565,AC1,44.99508076394053,44.98010993094915,269.9916838105307,-2.468619130086976,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,62.6058321145974,0.0,NEAR,,273.87767732690605,62.6058321145974,NONE,,360.0,273.87767732690605,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,4999.978862158212,119.71086849024985,44.98323891799777,44.968528406078086,241.87767732684708,-1.0417285203877606,29,5003.71358546237,149.23951714259536,AC1,44.99514842681326,44.979221248792186,268.51452290661007,-3.47587938729724,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,61.87767732690608,0.0,NEAR,,273.87767732690605,61.87767732690608,NONE,,360.0,273.87767732690605,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,5012.704913600059,120.60638278805322,44.982931045584465,44.967814545702126,243.10345227391028,-13.236656378333208,30,5006.576307371277,150.87724901158313,AC1,44.9951134883303,44.978045931805845,269.91920267452014,-0.8523436021164297,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
