alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,h_band_3_high,h_band_3_low,h_band_3_type,h_band_3_unit,h_band_4_high,h_band_4_low,h_band_4_type,h_band_4_unit,h_band_5_high,h_band_5_low,h_band_5_type,h_band_5_unit,h_band_6_high,h_band_6_low,h_band_6_type,h_band_6_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,hs_band_2_high,hs_band_2_low,hs_band_2_type,hs_band_2_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit,v_band_1_high,v_band_1_low,v_band_1_type,v_band_1_unit,v_band_2_high,v_band_2_low,v_band_2_type,v_band_2_unit,vs_band_0_high,vs_band_0_low,vs_band_0_type,vs_band_0_unit,vs_band_1_high,vs_band_1_low,vs_band_1_type,vs_band_1_unit,vs_band_2_high,vs_band_2_low,vs_band_2_type,vs_band_2_unit
Warning,135.78848841607947,0.0,NEAR,,309.7884884160795,135.78848841607947,RECOVERY,,360.0,309.7884884160795,NEAR,,,,,,,,,,,,,,,,,,256.5580726830019,10.0,NEAR,,700.0,256.5580726830019,RECOVERY,,,,,,5004.58906170982,119.2587070259362,44.996173494431055,44.979340463145824,315.78848841603224,2.208993196200606,10,4998.065764874021,148.77836011330766,AC1,45.00213758305456,44.997064588729096,269.7661932233505,-2.9112199551840834,50000.0,100.0,RECOVERY,,,,,,,,,,-3782.2014286238596,-6000.0,RECOVERY,,2334.841180354443,-3782.2014286238596,NEAR,,6000.0,2334.841180354443,RECOVERY,
Warning,135.69710773678398,0.0,NEAR,,297.69710773678395,135.69710773678398,RECOVERY,,306.41942118148205,297.69710773678395,NEAR,,309.7884884160795,306.41942118148205,RECOVERY,,360.0,309.7884884160795,NEAR,,,,,,,,,,254.26562807694083,10.0,NEAR,,700.0,254.26562807694083,RECOVERY,,,,,,5003.96044976249,120.5166516081693,44.996522810508246,44.97881180186249,307.2463982884962,-0.869040480498457,11,5009.691095537215,149.4630408813346,AC1,45.002098107182,44.99611195084011,267.29227533745205,7.646300951202473,50000.0,100.0,RECOVERY,,,,,,,,,,-2795.040621369379,-6000.0,RECOVERY,,3304.9593786306204,-2795.040621369379,NEAR,,6000.0,3304.9593786306204,RECOVERY,
Warning,135.69710773678398,0.0,NEAR,,297.69710773678395,135.69710773678398,RECOVERY,,360.0,297.69710773678395,NEAR,,,,,,,,,,,,,,,,,,254.26562807694083,10.0,NEAR,,700.0,254.26562807694083,RECOVERY,,,,,,4998.232351258831,123.98926548862501,44.996994132846716,44.97816125431608,315.48903180104605,-2.4815920457603586,12,4993.821646585011,147.69340338143283,AC1,45.00210843825234,44.995050089533414,271.7511409428006,-3.6852884024037404,50000.0,100.0,RECOVERY,,,,,,,,,,-3782.2014286238596,-6000.0,RECOVERY,,2334.841180354443,-3782.2014286238596,NEAR,,6000.0,2334.841180354443,RECOVERY,
Warning,127.24639828846351,0.0,NEAR,,295.24639828846347,127.24639828846351,RECOVERY,,360.0,295.24639828846347,NEAR,,,,,,,,,,,,,,,,,,254.26562807694083,10.0,NEAR,,700.0,254.26562807694083,RECOVERY,,,,,,4989.413017297682,118.20491567018156,44.99721573623885,44.97742387082895,290.98655083732683,-4.027892311431043,13,4991.549029766672,147.90995455357955,AC1,45.00209889306745,44.99422033784931,271.1416176685546,-5.40171468341561,50000.0,100.0,RECOVERY,,,,,,,,,,2334.841180354443,-6000.0,NEAR,,6000.0,2334.841180354443,RECOVERY,,,,,
Warning,110.98655083726266,0.0,NEAR,,254.96604365632655,110.98655083726266,RECOVERY,,360.0,254.96604365632655,NEAR,,,,,,,,,,,,,,,,,,261.01584931836203,10.0,NEAR,,700.0,261.01584931836203,RECOVERY,,,,,,4990.2219517769045,120.59158181606793,44.997322753940146,44.97666812269336,289.9660436562366,0.8710069772816015,14,5000.29964101814,153.04313290698659,AC1,45.00218527653975,44.99323839021398,275.8192799560345,1.5177675508848862,16299.999999999998,100.0,RECOVERY,,16500.0,16299.999999999998,NEAR,,50000.0,16500.0,RECOVERY,,-3028.541933605992,-6000.0,RECOVERY,,2907.107812710421,-3028.541933605992,NEAR,,6000.0,2907.107812710421,RECOVERY,
Warning,110.98655083726266,0.0,NEAR,,245.98655083726266,110.98655083726266,NONE,,360.0,245.98655083726266,NEAR,,,,,,,,,,,,,,,,,,299.771972984903,10.0,NEAR,,700.0,299.771972984903,NONE,,,,,,5010.1361587214815,120.31508516524397,44.99715433341066,44.975950317760244,251.77269619593463,3.9763865137593624,15,4997.814281825303,148.89562560199414,AC1,45.00215918603182,44.99221181130684,269.9441589897019,3.3427495739104955,16099.999999999998,100.0,NONE,,16500.0,16099.999999999998,NEAR,,50000.0,16500.0,NONE,,2907.107812710421,-6000.0,NEAR,,6000.0,2907.107812710421,NONE,,,,,
Warning,110.98655083726266,0.0,NEAR,,245.98655083726266,110.98655083726266,NONE,,360.0,245.98655083726266,NEAR,,,,,,,,,,,,,,,,,,329.41128074638027,10.0,NEAR,,700.0,329.41128074638027,NONE,,,,,,4994.674821854312,116.30920912947482,44.99692578864414,44.97509144897341,249.1342731566972,4.68036458698972,16,5007.082694928445,149.59558194963486,AC1,45.002169519559295,44.99128594661223,269.2903828780063,3.2160204793346328,50000.0,100.0,NEAR,,,,,,,,,,6000.0,-6000.0,NEAR,,,,,,,,,
None,110.98655083726266,0.0,NEAR,,245.98655083726266,110.98655083726266,NONE,,360.0,245.98655083726266,NEAR,,,,,,,,,,,,,,,,,,208.87381426398295,10.0,NEAR,,700.0,208.87381426398295,NONE,,,,,,4991.897657307103,117.14058914478208,44.99667184542632,44.97438501115944,251.45655374682215,3.406786976719411,17,4997.822065653669,148.64735674757878,AC1,45.00209469033801,44.99016558479384,272.7381777789095,-2.294305828352404,50000.0,100.0,NEAR,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,71.45655374677547,0.0,NEAR,,258.7726961959521,71.45655374677547,NONE,,360.0,258.7726961959521,NEAR,,,,,,,,,,,,,,,,,,206.0870143290085,10.0,NEAR,,700.0,206.0870143290085,NONE,,,,,,4992.500230666954,118.39321553801857,44.99651491245029,44.97375850870586,250.2684705752691,6.7941182252530075,18,4997.064731894386,149.37331020304217,AC1,45.00209517954302,44.989265432939256,270.39033610431693,9.011840753116154,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,70.2684705752414,0.0,NEAR,,258.79500358432506,70.2684705752414,NONE,,360.0,258.79500358432506,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,,,,,5000.015077156874,119.16883011774425,44.99639737718219,44.97303080351358,245.795003584377,-1.7861574279168826,19,4989.241647898264,154.9565392400027,AC1,45.00208756451564,44.98837261475588,270.62823681321913,-9.854664469055532,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,70.7694449321005,0.0,NEAR,,258.7726961959521,70.7694449321005,NONE,,360.0,258.7726961959521,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,,,,,4991.588935009384,120.85233106570311,44.9961135580226,44.97232254179368,250.76944493212451,-1.233925693573673,20,4974.967505945868,149.0907605572164,AC1,45.00212619048724,44.98736105375961,267.4981133198572,-2.57505560025497,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,70.7694449321005,0.0,NEAR,,256.7694449321005,70.7694449321005,NONE,,360.0,256.7694449321005,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,,,,,5009.613746666017,120.95168367305263,44.99595068918431,44.971508564504816,251.19543263585962,9.121085647799175,21,5012.385640112547,145.26036858715224,AC1,45.00215371775632,44.986345433820325,265.51228243874164,-19.167432972051227,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,70.7694449321005,0.0,NEAR,,255.3062203458358,70.7694449321005,NONE,,360.0,255.3062203458358,NEAR,,,,,,,,,,,,,,,,,,208.11803899500524,10.0,NEAR,,700.0,208.11803899500524,NONE,,,,,,4993.671216845782,119.92628076979705,44.995713348203694,44.9707639477639,250.30622034583095,7.307994597659862,22,5003.148467648597,155.18996739167702,AC1,45.00209204373765,44.98540376386502,268.50496822857724,-10.974926451993362,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,71.07696295834612,0.0,NEAR,,255.3062203458358,71.07696295834612,NONE,,360.0,255.3062203458358,NEAR,,,,,,,,,,,,,,,,,,208.11803899500524,10.0,NEAR,,700.0,208.11803899500524,NONE,,,,,,5013.655564743953,122.95340244423865,44.99552759356525,44.970023061322536,251.07696295842828,5.011278047188808,23,5001.29544469858,148.43708696511408,AC1,45.002138393224655,44.98442385605319,268.2770234913823,1.3706673363025383,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,71.1954326358625,0.0,NEAR,,255.3062203458358,71.1954326358625,NONE,,360.0,255.3062203458358,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,,,,,4996.296322883963,118.79203655861629,44.99534001190511,44.9693145676953,251.4002504249028,17.481740940580092,24,5005.716077334934,148.73807618588287,AC1,45.00211054704817,44.98343678154019,269.52856096946726,-0.9115514906173817,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,71.07696295834612,0.0,NEAR,,260.0769629583461,71.07696295834612,NONE,,360.0,260.0769629583461,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,,,,,4995.564659051487,123.03986109466099,44.99512506076455,44.96853779146584,249.6487990507506,-5.861881686045263,25,5019.616316955398,145.421161313076,AC1,45.002054353358346,44.98245180832886,269.08997244441525,7.107881558551886,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,71.07696295834612,0.0,NEAR,,260.40025042490595,71.07696295834612,NONE,,360.0,260.40025042490595,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,,,,,4996.102299875727,119.44934342659059,44.99500546583012,44.967878517696164,245.9611829683351,-13.01074663342051,26,4997.7616363940315,151.49254694490335,AC1,45.00205366803303,44.98150424268315,271.893565951947,-4.379526160556381,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,69.64024856265586,0.0,NEAR,,260.40025042490595,69.64024856265586,NONE,,360.0,260.40025042490595,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,,,,,4991.921447854502,120.23353309590631,44.99477914766317,44.9671967055982,249.64024856263913,7.013995423653215,27,4990.2560643214265,151.03939704345805,AC1,45.0021458220754,44.98043354118505,268.1453804715881,3.2889756066863134,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,69.6487990507501,0.0,NEAR,,260.5066664931786,69.6487990507501,NONE,,360.0,260.5066664931786,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,,,,,4990.203946283242,119.21974629577173,44.994683263410536,44.96640461944638,250.50666649316742,-5.17477010287031,28,4990.625052034715,151.0041977245951,AC1,45.002129637666485,44.97948601121596,268.9039436086367,-0.8322287853565019,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,69.6487990507501,0.0,NEAR,,260.5066664931786,69.6487990507501,NONE,,360.0,260.5066664931786,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,,,,,5010.801529128045,117.72536247490201,44.99437516914755,44.9656938560176,245.32417967755185,-2.612425966310188,29,4993.012735486768,149.94979814355548,AC1,45.00211406543971,44.978582549204454,273.620796597188,-3.6136516824691167,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,70.50666649317863,0.0,NEAR,,260.5066664931786,70.50666649317863,NONE,,360.0,260.5066664931786,NEAR,,,,,,,,,,,,,,,,,,700.0,10.0,NONE,,,,,,,,,,5003.459943195152,117.29117720753075,44.99413565834834,44.96495809073086,251.39538992282135,8.423315413834176,30,5009.289689372797,150.17791222739126,AC1,45.002051598811555,44.97754706091616,269.8757136064255,-2.9935296099998503,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
