alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,h_band_3_high,h_band_3_low,h_band_3_type,h_band_3_unit,h_band_4_high,h_band_4_low,h_band_4_type,h_band_4_unit,h_band_5_high,h_band_5_low,h_band_5_type,h_band_5_unit,h_band_6_high,h_band_6_low,h_band_6_type,h_band_6_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit,v_band_1_high,v_band_1_low,v_band_1_type,v_band_1_unit,vs_band_0_high,vs_band_0_low,vs_band_0_type,vs_band_0_unit,vs_band_1_high,vs_band_1_low,vs_band_1_type,vs_band_1_unit,vs_band_2_high,vs_band_2_low,vs_band_2_type,vs_band_2_unit
Warning,308.86566789153335,0.0,NEAR,,316.86566789153335,308.86566789153335,RECOVERY,,360.0,316.86566789153335,NEAR,,,,,,,,,,,,,,,,,,250.0984422036985,10.0,NEAR,,700.0,250.0984422036985,RECOVERY,,4983.108555895212,116.56901777908351,45.00055641533534,44.98633772883225,314.4593112887746,1.1572189980789824,11,5011.686236835993,153.30345186818087,AC1,45.00687360700883,45.002095887208164,267.74356847410434,0.12088458716615784,50000.0,100.0,RECOVERY,,,,,,-2567.359012522218,-6000.0,RECOVERY,,3231.067228557461,-2567.359012522218,NEAR,,6000.0,3231.067228557461,RECOVERY,
Warning,308.86566789153335,0.0,NEAR,,316.86566789153335,308.86566789153335,RECOVERY,,360.0,316.86566789153335,NEAR,,,,,,,,,,,,,,,,,,250.0984422036985,10.0,NEAR,,700.0,250.0984422036985,RECOVERY,,4994.48047459989,124.79023950230524,45.00101971751392,44.98575109328316,311.07032730139684,3.2775561269625433,12,5001.763035076792,151.50701697136088,AC1,45.00698792725453,45.00113552860302,270.0598038111062,2.3098000928806295,50000.0,100.0,RECOVERY,,,,,,-2354.811786030993,-6000.0,RECOVERY,,3545.1882139690065,-2354.811786030993,NEAR,,6000.0,3545.1882139690065,RECOVERY,
Warning,308.74633077493496,0.0,NEAR,,316.86566789153335,308.74633077493496,RECOVERY,,360.0,316.86566789153335,NEAR,,,,,,,,,,,,,,,,,,261.592041933134,10.0,NEAR,,700.0,261.592041933134,RECOVERY,,5000.440940922461,120.97321844168957,45.00126238549478,44.98520926847675,313.74633077490194,-1.0391323375944241,13,5002.358427219736,148.95362936099113,AC1,45.006896167693675,45.000128556939,272.3758394547891,-1.7959381169205795,50000.0,100.0,RECOVERY,,,,,,-2354.811786030993,-6000.0,RECOVERY,,3231.067228557461,-2354.811786030993,NEAR,,6000.0,3231.067228557461,RECOVERY,
Warning,307.9545013564035,0.0,NEAR,,317.070327301407,307.9545013564035,RECOVERY,,360.0,317.070327301407,NEAR,,,,,,,,,,,,,,,,,,261.592041933134,10.0,NEAR,,700.0,261.592041933134,RECOVERY,,5008.182115220989,117.72910718923656,45.00166522169231,44.98445320220139,314.95450135640584,6.412845473856057,14,5002.507169580861,151.2980365218611,AC1,45.00689487821761,44.99921711416938,266.16898666274005,6.945842657329796,50000.0,100.0,RECOVERY,,,,,,-2354.811786030993,-6000.0,RECOVERY,,3545.1882139690065,-2354.811786030993,NEAR,,6000.0,3545.1882139690065,RECOVERY,
Warning,307.9545013564035,0.0,NEAR,,317.070327301407,307.9545013564035,RECOVERY,,360.0,317.070327301407,NEAR,,,,,,,,,,,,,,,,,,243.84707530542147,10.0,NEAR,,700.0,243.84707530542147,RECOVERY,,5005.179091897668,118.11591059588028,45.00203050177269,44.98386720784225,312.94631332448853,-8.784846881796696,15,4999.814476476982,152.2042119123597,AC1,45.00692876935575,44.99821230739652,272.06027024091816,4.54759063060717,50000.0,100.0,RECOVERY,,,,,,-3004.5536097626773,-6000.0,RECOVERY,,3545.1882139690065,-3004.5536097626773,NEAR,,6000.0,3545.1882139690065,RECOVERY,
Warning,134.25784811194782,0.0,NEAR,,304.25784811194785,134.25784811194782,RECOVERY,,307.9545013564035,304.25784811194785,NEAR,,314.7463307749349,307.9545013564035,RECOVERY,,360.0,314.7463307749349,NEAR,,,,,,,,,,239.59896096411578,10.0,NEAR,,700.0,239.59896096411578,RECOVERY,,4993.724517544418,118.00595520774998,45.00236212307697,44.983443985868156,314.25784811194535,5.034159741034227,16,4980.757380988935,152.85110564765964,AC1,45.00688273999812,44.99725902022173,268.30887151479783,-2.9515703393941135,50000.0,100.0,RECOVERY,,,,,,-3129.3005672828135,-6000.0,RECOVERY,,2290.976326975233,-3129.3005672828135,NEAR,,6000.0,2290.976326975233,RECOVERY,
Warning,134.25784811194782,0.0,NEAR,,310.9463133244796,134.25784811194782,RECOVERY,,360.0,310.9463133244796,NEAR,,,,,,,,,,,,,,,,,,239.59896096411578,10.0,NEAR,,700.0,239.59896096411578,RECOVERY,,4983.864517921125,122.65490947682139,45.002792169259614,44.98283246660693,309.7172770480741,4.964258240541505,17,5000.052554691688,150.37444218262664,AC1,45.00695058358074,44.996203264305386,269.90085004835004,2.1313372777754553,50000.0,100.0,RECOVERY,,,,,,-3129.3005672828135,-6000.0,RECOVERY,,3077.2161890829707,-3129.3005672828135,NEAR,,6000.0,3077.2161890829707,RECOVERY,
Warning,134.25784811194782,0.0,NEAR,,310.71727704808774,134.25784811194782,RECOVERY,,360.0,310.71727704808774,NEAR,,,,,,,,,,,,,,,,,,239.59896096411578,10.0,NEAR,,700.0,239.59896096411578,RECOVERY,,4988.384968715894,122.43941778249155,45.00302370006496,44.982116923860666,305.0562096876607,1.8899663869295007,18,5006.766981062682,151.80073980563873,AC1,45.00685769179656,44.995414002490016,268.16570800352434,0.7691755598824535,50000.0,100.0,RECOVERY,,,,,,-2222.783810917029,-6000.0,RECOVERY,,3077.2161890829707,-2222.783810917029,NEAR,,6000.0,3077.2161890829707,RECOVERY,
Warning,303.7172770480878,0.0,NEAR,,304.25784811194785,303.7172770480878,RECOVERY,,309.2332189090388,304.25784811194785,NEAR,,310.71727704808774,309.2332189090388,RECOVERY,,316.05620968760127,310.71727704808774,NEAR,,318.2332189090388,316.05620968760127,RECOVERY,,360.0,318.2332189090388,NEAR,,247.21963376169577,10.0,NEAR,,700.0,247.21963376169577,RECOVERY,,5007.168932403045,116.89187891398822,45.00343627289418,44.9815307127386,306.23321890902645,-2.1059877703269567,19,5002.989222164193,153.07612220133447,AC1,45.00690934483107,44.994351165353095,272.5198694944798,1.0986462201021325,50000.0,100.0,RECOVERY,,,,,,-2222.783810917029,-6000.0,RECOVERY,,3077.2161890829707,-2222.783810917029,NEAR,,6000.0,3077.2161890829707,RECOVERY,
Warning,303.7172770480878,0.0,NEAR,,324.9763324826691,303.7172770480878,RECOVERY,,360.0,324.9763324826691,NEAR,,,,,,,,,,,,,,,,,,247.21963376169577,10.0,NEAR,,700.0,247.21963376169577,RECOVERY,,5001.798212557563,117.8507108325218,45.00390157043757,44.98111476162793,321.97633248266095,0.417417671660396,20,5015.689585129956,152.23232171441904,AC1,45.006916539304726,44.993313936091646,271.682796818557,8.723255060125386,50000.0,100.0,RECOVERY,,,,,,-2127.959372651669,-6000.0,RECOVERY,,3872.0406273483304,-2127.959372651669,NEAR,,6000.0,3872.0406273483304,RECOVERY,
Warning,307.13989703819027,0.0,NEAR,,324.9763324826691,307.13989703819027,RECOVERY,,360.0,324.9763324826691,NEAR,,,,,,,,,,,,,,,,,,236.80476272731423,10.0,NEAR,,700.0,236.80476272731423,RECOVERY,,5014.468965070133,121.82289534640324,45.004256600812454,44.980534217546094,318.1398970381638,-1.9901094887925184,21,5003.855062326849,149.58405122494273,AC1,45.006820407656896,44.992301184157775,267.59914789019626,-5.035080114440604,50000.0,100.0,RECOVERY,,,,,,-2127.959372651669,-6000.0,RECOVERY,,3872.0406273483304,-2127.959372651669,NEAR,,6000.0,3872.0406273483304,RECOVERY,
Warning,302.45883095362865,0.0,NEAR,,320.1398970381902,302.45883095362865,RECOVERY,,360.0,320.1398970381902,NEAR,,,,,,,,,,,,,,,,,,236.80476272731423,10.0,NEAR,,700.0,236.80476272731423,RECOVERY,,5002.673447932225,120.9397375920608,45.00460981285384,44.98000172124737,320.45883095355396,-2.2203058623889707,22,5014.686826307449,147.33253865260332,AC1,45.00687634846958,44.991480776619234,270.0475943221108,-6.640990851042446,50000.0,100.0,RECOVERY,,,,,,-2314.5645217178976,-6000.0,RECOVERY,,1362.9319168525633,-2314.5645217178976,NEAR,,6000.0,1362.9319168525633,RECOVERY,
Warning,302.45883095362865,0.0,NEAR,,324.9763324826691,302.45883095362865,RECOVERY,,360.0,324.9763324826691,NEAR,,,,,,,,,,,,,,,,,,236.80476272731423,10.0,NEAR,,700.0,236.80476272731423,RECOVERY,,4997.9194768148545,123.07410846233859,45.00507478612534,44.979509802054956,313.6832049979504,0.6270106207960079,23,4989.1593522039675,149.86635493868454,AC1,45.00680523240602,44.99046706613506,271.0989650424678,-0.3805482987994396,50000.0,100.0,RECOVERY,,,,,,-3276.5727124417226,-6000.0,RECOVERY,,1362.9319168525633,-3276.5727124417226,NEAR,,6000.0,1362.9319168525633,RECOVERY,
Warning,302.45883095362865,0.0,NEAR,,312.95822677726136,302.45883095362865,RECOVERY,,317.68320499797306,312.95822677726136,NEAR,,320.1398970381902,317.68320499797306,RECOVERY,,360.0,320.1398970381902,NEAR,,,,,,,,,,239.8643478899007,10.0,NEAR,,700.0,239.8643478899007,RECOVERY,,4996.324734962302,120.82465969539216,45.005609862063956,44.978983435023224,317.9582267772335,-6.4666476901927545,24,4997.978517675111,147.43256932863363,AC1,45.00689095629404,44.98935711977674,269.11916236956733,2.1124172051393506,50000.0,100.0,RECOVERY,,,,,,-3276.5727124417226,-6000.0,RECOVERY,,1362.9319168525633,-3276.5727124417226,NEAR,,6000.0,1362.9319168525633,RECOVERY,
Warning,142.86723818158507,0.0,NEAR,,312.95822677726136,142.86723818158507,RECOVERY,,317.68320499797306,312.95822677726136,NEAR,,329.8672381815851,317.68320499797306,RECOVERY,,360.0,329.8672381815851,NEAR,,,,,,,,,,239.8643478899007,10.0,NEAR,,700.0,239.8643478899007,RECOVERY,,4989.9737017524785,120.1419427097016,45.00593671277527,44.978584468370435,322.8672381816196,-8.62222066960964,25,5002.743887396753,147.84486929767036,AC1,45.00688931571106,44.98837255980659,269.74972617768253,-0.4032684076467673,50000.0,100.0,RECOVERY,,,,,,-2597.28753338773,-6000.0,RECOVERY,,2323.4272875582765,-2597.28753338773,NEAR,,6000.0,2323.4272875582765,RECOVERY,
Warning,142.86723818158507,0.0,NEAR,,317.5674007267244,142.86723818158507,RECOVERY,,317.68320499797306,317.5674007267244,NEAR,,329.8672381815851,317.68320499797306,RECOVERY,,360.0,329.8672381815851,NEAR,,,,,,,,,,239.8643478899007,10.0,NEAR,,700.0,239.8643478899007,RECOVERY,,5000.048022444852,120.90273355150376,45.00642210993569,44.97799920187035,321.5674007267065,0.12045736423657014,26,5000.626332033762,154.28671248587673,AC1,45.006893336751375,44.987597771818656,272.987390991777,-3.8041889956659665,50000.0,100.0,RECOVERY,,,,,,-2597.28753338773,-6000.0,RECOVERY,,2323.4272875582765,-2597.28753338773,NEAR,,6000.0,2323.4272875582765,RECOVERY,
Warning,137.95822677726133,0.0,NEAR,,329.8672381815851,137.95822677726133,RECOVERY,,360.0,329.8672381815851,NEAR,,,,,,,,,,,,,,,,,,228.537252261324,10.0,NEAR,,700.0,228.537252261324,RECOVERY,,4993.884600073085,117.13969927733403,45.006894911397794,44.977571413184265,324.93374527117714,-1.6024754253529705,27,4994.18473002094,149.5225492643742,AC1,45.00686537464339,44.9864812058457,268.4429008658723,-3.83211840656138,50000.0,100.0,RECOVERY,,,,,,-2172.9621437387227,-6000.0,RECOVERY,,1823.7120795741355,-2172.9621437387227,NEAR,,6000.0,1823.7120795741355,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5001.211913427646,117.58689067421267,45.007262849126,44.977145153984196,325.87626781140875,7.027594257916077,28,4991.2161712562365,149.69461125943724,AC1,45.00680460682822,44.985534949464736,267.43965429999474,-9.300464528914082,50000.0,100.0,RECOVERY,,,,,,-2597.28753338773,-6000.0,RECOVERY,,1083.3846964401769,-2597.28753338773,NEAR,,6000.0,1083.3846964401769,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4991.229091319233,119.72857864289341,45.00771595007061,44.97712626083744,7.277602944572734,12.544140958247137,29,4996.186474530212,150.58810513842695,AC1,45.00684820252897,44.984426610358945,271.9822381042084,1.6065113164620892,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5027.886318464667,120.12707707675884,45.00843833231885,44.977099897663244,350.67136337998096,6.871311710319244,30,4998.362918123404,150.15142082797578,AC1,45.006848307994375,44.98364551604843,274.75518502598305,-15.391418031793373,50000.0,100.0,RECOVERY,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
