alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,h_band_3_high,h_band_3_low,h_band_3_type,h_band_3_unit,h_band_4_high,h_band_4_low,h_band_4_type,h_band_4_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit,v_band_1_high,v_band_1_low,v_band_1_type,v_band_1_unit,v_band_2_high,v_band_2_low,v_band_2_type,v_band_2_unit,vs_band_0_high,vs_band_0_low,vs_band_0_type,vs_band_0_unit,vs_band_1_high,vs_band_1_low,vs_band_1_type,vs_band_1_unit,vs_band_2_high,vs_band_2_low,vs_band_2_type,vs_band_2_unit
Warning,124.7036138185567,0.0,NEAR,,243.2773596000618,124.7036138185567,RECOVERY,,360.0,243.2773596000618,NEAR,,,,,,,,,,247.8305667070211,10.0,NEAR,,700.0,247.8305667070211,RECOVERY,,5003.3433499232815,117.64273961558695,44.99859217520859,45.00620805599777,304.70361381863194,8.960726318197864,19,5007.849506471858,151.05488299215656,AC1,45.00248459083431,45.012382796087486,269.94718130337014,2.747172620994793,16700.0,100.0,NEAR,,50000.0,16700.0,RECOVERY,,,,,,2011.6293472847005,-6000.0,NEAR,,6000.0,2011.6293472847005,RECOVERY,,,,,
Warning,124.7036138185567,0.0,NEAR,,237.16515568345082,124.7036138185567,RECOVERY,,360.0,237.16515568345082,NEAR,,,,,,,,,,243.67919017622987,10.0,NEAR,,700.0,243.67919017622987,RECOVERY,,5009.327057258873,121.28443278382042,44.99833059065401,45.005413519912885,238.16515568339793,-1.53739739599811,20,4996.432071497886,152.41986149068447,AC1,45.00240017674725,45.01140430034395,269.140965802349,-2.4037533854084203,16700.0,100.0,NEAR,,50000.0,16700.0,RECOVERY,,,,,,2011.6293472847005,-6000.0,NEAR,,6000.0,2011.6293472847005,RECOVERY,,,,,
Warning,58.16515568345082,0.0,NEAR,,237.4582503815833,58.16515568345082,RECOVERY,,360.0,237.4582503815833,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5010.507924091547,120.80117626150992,44.99794823610817,45.00488137769914,230.45825038157415,-2.00973995683245,21,4991.588240467677,152.14379137991796,AC1,45.00246306874337,45.01044552448486,271.479806433835,-4.128794233099341,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,51.073735711110004,0.0,NEAR,,237.4582503815833,51.073735711110004,RECOVERY,,360.0,237.4582503815833,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5000.284044029951,116.87464464157641,44.99778722086262,45.004243882895516,231.07373571107848,3.058823644069095,22,5005.619714044152,144.33202625179052,AC1,45.00244842262014,45.0093669475076,271.569125191942,-2.220971422021212,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,51.073735711110004,0.0,NEAR,,237.4582503815833,51.073735711110004,RECOVERY,,360.0,237.4582503815833,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5014.612760287204,123.42838275886916,44.99732027818099,45.00377855751748,235.57473705406554,5.291919266834481,23,5000.960435155627,149.47015988387676,AC1,45.00248012889919,45.00831747241014,272.3458927667815,6.027882977268158,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,51.07319071573943,0.0,NEAR,,240.07319071573943,51.07319071573943,RECOVERY,,360.0,240.07319071573943,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4994.32090943265,123.11296394174214,44.99696792524003,45.00294406208653,231.07319071571771,3.564379452811555,24,5003.420479709142,150.28058759781754,AC1,45.002398660054006,45.007497006856795,270.39231396853984,-5.846338677536406,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,51.073735711110004,0.0,NEAR,,240.25538385028068,51.073735711110004,RECOVERY,,360.0,240.25538385028068,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5000.209036205229,122.78496201028427,44.996796988736314,45.00236697917252,237.2553838503103,0.6170291511796058,25,5003.76548418777,148.91349784265068,AC1,45.00252296626033,45.00656825344289,269.229159282051,3.361624043743103,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,55.16143471136749,0.0,NEAR,,240.25538385028068,55.16143471136749,RECOVERY,,360.0,240.25538385028068,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5010.5004516544395,119.69272299532577,44.996377186044526,45.00169985615995,235.16143471140364,-2.6684940078081736,26,5000.8389345690375,150.7246922908862,AC1,45.00247617083628,45.00546947310388,266.1074706335877,-1.7142683093943314,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,55.16143471136749,0.0,NEAR,,240.25538385028068,55.16143471136749,RECOVERY,,360.0,240.25538385028068,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4990.710653133506,121.3784625249993,44.99615136225649,45.00100914669674,238.17771213503687,4.902045755116705,27,5003.869734011989,148.17004829039075,AC1,45.00246277026546,45.00459546603424,270.343522425044,-1.8568054159447358,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,56.343519235601754,0.0,NEAR,,244.17771213505935,56.343519235601754,RECOVERY,,360.0,244.17771213505935,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5005.090659285501,118.90151884937413,44.99573543699358,45.000549206994684,236.34351923569213,1.1804311884156258,28,4991.084581279903,147.8986347828933,AC1,45.00250926941876,45.00359688872816,270.0574993369767,9.720544741328478,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,56.343519235601754,0.0,NEAR,,245.34351923560175,56.343519235601754,RECOVERY,,360.0,245.34351923560175,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5006.966744063201,118.5997272111717,44.99551904723465,44.9997905034895,237.31140735171257,-3.176694700871645,29,5002.450034733414,149.91052448675327,AC1,45.00247389828181,45.00255755752835,272.0783942232011,-2.6307080100699762,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,57.08260730707758,0.0,NEAR,,250.08260730707758,57.08260730707758,RECOVERY,,360.0,250.08260730707758,NEAR,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4989.873801450737,119.38975220241944,44.99531647310862,44.999138753616805,237.08260730707696,-4.485843254869367,30,4993.946730105838,150.6989686697589,AC1,45.002336774300204,45.00158531567283,271.2187345547139,1.8165945648807078,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
