alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,h_band_3_high,h_band_3_low,h_band_3_type,h_band_3_unit,h_band_4_high,h_band_4_low,h_band_4_type,h_band_4_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,hs_band_2_high,hs_band_2_low,hs_band_2_type,hs_band_2_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit,v_band_1_high,v_band_1_low,v_band_1_type,v_band_1_unit,v_band_2_high,v_band_2_low,v_band_2_type,v_band_2_unit,vs_band_0_high,vs_band_0_low,vs_band_0_type,vs_band_0_unit,vs_band_1_high,vs_band_1_low,vs_band_1_type,vs_band_1_unit,vs_band_2_high,vs_band_2_low,vs_band_2_type,vs_band_2_unit
Warning,108.59086459401212,0.0,NEAR,,292.4303452327746,108.59086459401212,RECOVERY,,360.0,292.4303452327746,NEAR,,,,,,,,,,257.1397525800126,10.0,NEAR,,700.0,257.1397525800126,RECOVERY,,,,,,4999.976128619894,119.42300674986625,44.99282482605049,44.97607489721593,286.1275107546446,2.2695316754431074,10,4988.360653682853,151.392231642703,AC1,45.000871416802205,44.99345384487496,270.8992180605792,12.57765503760133,16199.999999999996,100.0,RECOVERY,,16599.999999999996,16199.999999999996,NEAR,,50000.0,16599.999999999996,RECOVERY,,-1921.2358597161076,-6000.0,RECOVERY,,2579.076261267531,-1921.2358597161076,NEAR,,6000.0,2579.076261267531,RECOVERY,
Warning,107.49422969749277,0.0,NEAR,,264.59086459401215,107.49422969749277,RECOVERY,,360.0,264.59086459401215,NEAR,,,,,,,,,,263.8296234352489,10.0,NEAR,,700.0,263.8296234352489,RECOVERY,,,,,,4990.454879067501,120.24834178121101,44.993027294890325,44.97546695214536,287.4942296974577,-2.5406149064254757,11,4996.890002190607,150.11433938125842,AC1,45.0007852664199,44.992360848777246,267.93971355416426,-0.736723236657463,16599.999999999996,100.0,NEAR,,50000.0,16599.999999999996,RECOVERY,,,,,,-3720.9237387324683,-6000.0,RECOVERY,,2579.076261267531,-3720.9237387324683,NEAR,,6000.0,2579.076261267531,RECOVERY,
Warning,107.49422969749277,0.0,NEAR,,263.1275107546331,107.49422969749277,NONE,,360.0,263.1275107546331,NEAR,,,,,,,,,,318.4636159352489,10.0,NEAR,,700.0,318.4636159352489,NONE,,,,,,5008.1359237327315,117.36689322496629,44.99293991366983,44.974668154308866,258.95376587179663,5.311308781409325,12,4999.376023496268,149.94700479393327,AC1,45.000888177861995,44.99138770377802,271.52316418384873,0.31546905172013034,16599.999999999996,100.0,NEAR,,50000.0,16599.999999999996,NONE,,,,,,-3720.9237387324683,-6000.0,NONE,,6000.0,-3720.9237387324683,NEAR,,,,,
Warning,107.49422969749277,0.0,NEAR,,253.49422969749276,107.49422969749277,NONE,,360.0,253.49422969749276,NEAR,,,,,,,,,,318.7440755068219,10.0,NEAR,,700.0,318.7440755068219,NONE,,,,,,4992.8082932542375,119.96127361630955,44.99287987505636,44.97383044315181,259.83481126497924,4.65741712889959,13,5018.210887889735,152.61776631645512,AC1,45.00087328720565,44.990397052306555,269.4677525713569,-0.7959858705520808,50000.0,100.0,NEAR,,,,,,,,,,-3800.1210445719357,-6000.0,NONE,,6000.0,-3800.1210445719357,NEAR,,,,,
None,107.49422969749277,0.0,NEAR,,253.49422969749276,107.49422969749277,NONE,,360.0,253.49422969749276,NEAR,,,,,,,,,,700.0,10.0,NONE,,,,,,,,,,4991.265457690086,119.6817706536699,44.992744483798,44.973124054995246,260.0746710841775,5.876992737239548,14,5005.5053992291705,150.17656322162577,AC1,45.000856379625816,44.98956140155823,271.63258102951676,7.0710287900704305,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,107.49422969749277,0.0,NEAR,,253.49422969749276,107.49422969749277,NONE,,360.0,253.49422969749276,NEAR,,,,,,,,,,700.0,10.0,NONE,,,,,,,,,,5004.23509509973,119.90455476343803,44.99262370673959,44.9722730469538,260.34209028264837,2.283664511399511,15,5005.3214250091505,146.58187615530815,AC1,45.000846558793015,44.98847060382276,266.5078286670981,2.7909309133732623,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,107.49422969749277,0.0,NEAR,,253.49422969749276,107.49422969749277,NONE,,360.0,253.49422969749276,NEAR,,,,,,,,,,210.9466096873332,10.0,NEAR,,700.0,210.9466096873332,NONE,,,,,,4987.565009766978,121.38142327456077,44.992584370544236,44.97158086543124,259.96763360478815,-1.9522813891191775,16,4992.375282252193,152.027530700229,AC1,45.000827262345986,44.98751827000616,267.37761113355094,2.813933401777825,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,80.34209028262455,0.0,NEAR,,261.9676336048388,80.34209028262455,NONE,,360.0,261.9676336048388,NEAR,,,,,,,,,,210.9466096873332,10.0,NEAR,,700.0,210.9466096873332,NONE,,,,,,5000.240746433427,118.28190654715829,44.99251151297393,44.97074983328186,261.0974623038171,-6.791954339305793,17,5010.85774670268,148.16110049146948,AC1,45.00085760933602,44.98647988184091,272.1976225242615,-1.413898087516114,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,80.34209028262455,0.0,NEAR,,261.9676336048388,80.34209028262455,NONE,,360.0,261.9676336048388,NEAR,,,,,,,,,,210.9466096873332,10.0,NEAR,,700.0,210.9466096873332,NONE,,,,,,4992.860676884348,120.81726972806484,44.9924543188962,44.969849977738164,258.69821683418974,-0.8338707810734403,18,4986.341630647173,151.9517647665168,AC1,45.000926908990586,44.98552485585429,269.6782224397263,1.1610511043361715,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
None,79.9676336048388,0.0,NEAR,,265.6982168342067,79.9676336048388,NONE,,360.0,265.6982168342067,NEAR,,,,,,,,,,700.0,10.0,NONE,,,,,,,,,,4988.073492600195,116.41859818634926,44.992226472033074,44.96915895306106,259.5661151553912,1.175339170350179,19,4994.131081077542,149.79844199767382,AC1,45.00077573482666,44.98464122954733,275.4139689684248,1.2920620264561928,50000.0,100.0,NONE,,,,,,,,,,6000.0,-6000.0,NONE,,,,,,,,,
