alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit,v_band_1_high,v_band_1_low,v_band_1_type,v_band_1_unit,v_band_2_high,v_band_2_low,v_band_2_type,v_band_2_unit,vs_band_0_high,vs_band_0_low,vs_band_0_type,vs_band_0_unit,vs_band_1_high,vs_band_1_low,vs_band_1_type,vs_band_1_unit,vs_band_2_high,vs_band_2_low,vs_band_2_type,vs_band_2_unit
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5004.920090051901,120.0990219892536,44.99836421236159,45.01041153024859,356.3386440574678,-0.8447608621591405,20,4998.006147050531,151.92335452333595,AC1,45.00182377105451,45.006229651260504,268.78174511178594,6.960892171246281,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5002.681996854539,120.07755549200904,44.99879767996909,45.01036929805049,5.3524107689143285,-13.711512138915067,21,5001.082319341252,148.84997860724272,AC1,45.00173398135267,45.00530145543462,268.4673334238843,3.2508158541167083,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5010.134874978013,120.48472032286259,44.999419202988506,45.01046648316339,8.51257932930664,3.3021593304364822,22,5014.196341646451,145.4129349907456,AC1,45.00168190564558,45.00428412321836,269.50333348801115,-5.0999903359853915,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4988.32674854016,116.87803051275294,44.99992451628191,45.01050670185535,350.9452407849574,-8.9844448646726,23,5004.47200970688,149.59313583832642,AC1,45.00175567756233,45.00333558732162,269.17637960949577,-3.2242676583635004,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4996.16919174734,120.32902041491423,45.00048607041756,45.01053651940429,4.349252411642645,-4.32543509999353,24,5008.281876703454,152.18443801994582,AC1,45.00173001429857,45.00236294087414,272.94624650976715,4.713043264397581,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4995.198821017926,121.70518054292748,45.0010580028115,45.01067981445993,3.7601916122334567,-6.8679722420491585,25,4995.712584726679,150.12535008490585,AC1,45.001676120908606,45.001239867380924,268.38173571636054,0.36145895161704805,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,5011.623658824788,118.51475388336681,45.00154096470283,45.01052458976231,356.129448305124,-2.620741488642555,26,4991.090744966371,148.9550080034019,AC1,45.00175704935358,45.00045699185226,272.1359159895485,-3.6689076511340293,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4999.668592319705,118.75289022884772,45.002168393283696,45.01059472787785,3.961954343726786,0.7512365926251396,27,4993.433309991163,150.4245851778077,AC1,45.00177936602565,44.999383542914046,273.1266624473953,-2.5783188712935856,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4999.92556201418,120.96486294675303,45.00278449660416,45.01051292996845,352.88434502652603,5.228729588322349,28,5002.296149339502,147.56642721538543,AC1,45.001689064882385,44.99852945927066,270.9136584529316,-3.7158079019267247,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4996.753707357945,120.57058613650179,45.00331495255336,45.01061403831903,2.211833812593639,1.794041365653489,29,4994.873927599232,149.56188104121455,AC1,45.00170234074895,44.99736108327329,269.95404220017906,2.7414869984916863,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4989.294209908853,118.94459540841,45.003845994622026,45.01069161096669,3.484320409607701,3.3707338125004753,30,4991.89377290526,151.8341874195803,AC1,45.00166531712828,44.99648707155163,265.9658063668662,-7.648723767153839,50000.0,100.0,RECOVERY,,,,,,,,,,6000.0,-6000.0,RECOVERY,,,,,,,,,
