alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,h_band_1_high,h_band_1_low,h_band_1_type,h_band_1_unit,h_band_2_high,h_band_2_low,h_band_2_type,h_band_2_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,hs_band_1_high,hs_band_1_low,hs_band_1_type,hs_band_1_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4609.035194444002,178.65059961494313,44.995198325665385,45.010592511459954,245.0199420877563,-257,11,4612.98540927991,100.16486020994952,AC1,44.98811521824811,44.9955012914893,18.847607011094556,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4604.751861110668,178.65059961494313,44.9966451414666,45.008835529119544,244.94606451365232,-257,12,4608.28540927991,100.16486020994952,AC1,44.98851458363679,44.99946905319986,18.788732165973105,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4600.468527777334,178.65059961494313,44.99414055214722,45.008865325098014,244.87202644594046,-257,13,4603.58540927991,100.16486020994952,AC1,44.98946893973308,45.001767417656275,18.730015040437213,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4596.185194444,178.65059961494313,44.9931799214921,45.01088361255715,244.79782802553473,-257,14,4598.88540927991,100.16486020994952,AC1,44.989696226331084,45.001946738505545,18.671455457178816,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4591.901861110667,178.65059961494313,44.99370102374058,45.00764132312295,244.72346940182794,-257,15,4594.18540927991,100.16486020994952,AC1,44.99042008742211,45.00083294085672,18.6130532345172,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4587.618527777333,178.65059961494313,44.99409375564416,45.005236676517846,244.64895072398414,-257,16,4589.4854092799105,100.16486020994952,AC1,44.99039040123569,44.999797935675836,18.554808190451876,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4583.335194443999,178.65059961494313,44.993325157317095,45.00481599995529,244.57427214879112,-257,17,4584.785409279911,100.16486020994952,AC1,44.990584722005806,45.001921561982755,18.496720138702997,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4579.051861110665,178.65059961494313,44.992554164614226,45.00276878106417,244.49943383779288,-257,18,4580.085409279911,100.16486020994952,AC1,44.989170672465356,45.00232233391517,18.438788894026263,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4574.768527777332,178.65059961494313,44.991880264328,45.004323581275386,244.42443595653788,-257,19,4575.385409279911,100.16486020994952,AC1,44.99159533440432,45.0005656982702,18.381014265812286,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,,,,,,,,,700.0,10.0,RECOVERY,,,,,,4570.485194443998,178.65059961494313,44.99049429737359,45.00187770654031,244.34927867508014,-257,20,4570.685409279911,100.16486020994952,AC1,44.991927795433384,45.00097707868647,18.323396064428973,-282,50000.0,100.0,RECOVERY,
