alert_level,h_band_0_high,h_band_0_low,h_band_0_type,h_band_0_unit,hs_band_0_high,hs_band_0_low,hs_band_0_type,hs_band_0_unit,ownship_alt,ownship_gs,ownship_lat,ownship_lon,ownship_track,ownship_vs,time,traffic_alt,traffic_gs,traffic_id,traffic_lat,traffic_lon,traffic_track,traffic_vs,v_band_0_high,v_band_0_low,v_band_0_type,v_band_0_unit
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4613.3185277773355,178.65059961494313,44.99981761325629,45.02894727152831,245.09376692207832,-257,10,4617.685409279909,100.16486020994952,AC1,44.99242527508728,45.014934589899966,18.906725709533564,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4609.035194444002,178.65059961494313,45.000989547289706,45.02851209648717,245.02006102729422,-257,11,4612.98540927991,100.16486020994952,AC1,44.99235761830419,45.01632797380772,18.84770131147196,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4604.751861110668,178.65059961494313,44.99871682154311,45.0295536326181,244.9461945460526,-257,12,4608.28540927991,100.16486020994952,AC1,44.992324476503256,45.016989906671505,18.78883476431098,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4600.468527777334,178.65059961494313,44.99751676153553,45.02760719692518,244.87216761765896,-257,13,4603.58540927991,100.16486020994952,AC1,44.992933514623445,45.01645554377619,18.730125893537394,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4596.185194444,178.65059961494313,44.9981289015721,45.025991073364544,244.797980383678,-257,14,4598.88540927991,100.16486020994952,AC1,44.99428867059209,45.0167377346699,18.671574518536406,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4591.901861110667,178.65059961494313,44.995226979054685,45.022638242672855,244.7236329911293,-257,15,4594.18540927991,100.16486020994952,AC1,44.99302276794103,45.01849488459268,18.613180459167086,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4587.618527777333,178.65059961494313,44.99784248462374,45.02415637514873,244.64912559204407,-257,16,4589.4854092799105,100.16486020994952,AC1,44.993313136832214,45.01856087115041,18.554943533081058,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4583.335194443999,178.65059961494313,44.99641467059624,45.02140371890031,244.57445834197938,-257,17,4584.785409279911,100.16486020994952,AC1,44.99415354405389,45.017655617360866,18.496863554974563,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4579.051861110665,178.65059961494313,44.99665943680254,45.02132800318133,244.49963140299832,-257,18,4580.085409279911,100.16486020994952,AC1,44.99316371015132,45.01869421407517,18.438940338622427,-282,50000.0,100.0,RECOVERY,
Warning,360.0,0.0,RECOVERY,,700.0,10.0,RECOVERY,,4574.768527777332,178.65059961494313,44.99585406208845,45.01835465570283,244.4246449377328,-257,19,4575.385409279911,100.16486020994952,AC1,44.996205587493584,45.02019301108147,18.38117369446326,-282,50000.0,100.0,RECOVERY,
